加工物料序号, 加工CNC序号, 开始时间, 结束时间, 耗时
150, 1, 45,500, 455
114, 2, 95,550, 455
179, 3, 122,577, 455
18, 7, 136,591, 455
46, 7, 636,1091, 455
207, 1, 570,1025, 455
124, 5, 136,591, 455
25, 7, 1168,1623, 455
110, 3, 727,1182, 455
175, 5, 713,1168, 455
51, 1, 1116,1571, 455
80, 7, 1693,2148, 455
114, 4, 732,914, 182
150, 8, 666,848, 182
65, 3, 1273,1728, 455
127, 7, 2239,2694, 455
44, 5, 1245,1700, 455
72, 2, 732,1187, 455
148, 5, 1791,2246, 455
62, 1, 1662,2117, 455
2, 2, 1237,1692, 455
5, 3, 1805,2260, 455
83, 5, 2323,2778, 455
67, 2, 1789,2244, 455
126, 1, 2162,2617, 455
181, 3, 2337,2792, 455
207, 8, 1212,1394, 182
72, 6, 1294,1476, 182
176, 1, 2708,3163, 455
99, 1, 3208,3663, 455
148, 6, 2419,2601, 182
29, 5, 2823,3278, 455
13, 7, 2785,3240, 455
117, 7, 3285,3740, 455
62, 8, 2212,2394, 182
58, 7, 3785,4240, 455
38, 2, 2319,2774, 455
209, 7, 4310,4765, 455
137, 5, 3362,3817, 455
110, 4, 1327,1509, 182
193, 7, 4856,5311, 455
13, 4, 3381,3563, 182
179, 6, 2683,2865, 182
30, 7, 5388,5843, 455
116, 3, 2914,3369, 455
165, 2, 2905,3360, 455
51, 4, 3645,3827, 182
195, 2, 3444,3899, 455
47, 7, 5913,6368, 455
5, 4, 3923,4105, 182
67, 6, 2996,3178, 182
120, 1, 3754,4209, 455
133, 3, 3458,3913, 455
54, 5, 3894,4349, 455
145, 3, 3990,4445, 455
189, 2, 4005,4460, 455
134, 1, 4254,4709, 455
2, 4, 4187,4369, 182
137, 6, 3976,4158, 182
7, 5, 4394,4849, 455
93, 2, 4556,5011, 455
88, 3, 4522,4977, 455
123, 3, 5022,5477, 455
107, 1, 4786,5241, 455
4, 3, 5554,6009, 455
184, 3, 6054,6509, 455
193, 4, 5361,5543, 182
85, 1, 5318,5773, 455
65, 6, 4350,4532, 182
200, 5, 4894,5349, 455
174, 1, 5864,6319, 455
175, 6, 4652,4834, 182
113, 2, 5107,5562, 455
14, 5, 5440,5895, 455
35, 2, 5658,6113, 455
107, 4, 5636,5818, 182
99, 6, 4938,5120, 182
178, 1, 6410,6865, 455
44, 6, 5216,5398, 182
155, 7, 6445,6900, 455
86, 5, 5990,6445, 455
1, 3, 6586,7041, 455
127, 4, 5914,6096, 182
117, 6, 5522,5704, 182
84, 5, 6490,6945, 455
41, 5, 6990,7445, 455
35, 4, 6195,6377, 182
88, 8, 5118,5300, 182
9, 1, 6935,7390, 455
47, 4, 6492,6674, 182
181, 6, 5786,5968, 182
178, 4, 6947,7129, 182
165, 8, 5484,5666, 182
25, 8, 5716,5898, 182
160, 7, 6945,7400, 455
14, 6, 6072,6254, 182
180, 1, 7481,7936, 455
204, 2, 6163,6618, 455
94, 5, 7536,7991, 455
185, 3, 7118,7573, 455
123, 6, 6336,6518, 182
26, 7, 7477,7932, 455
29, 4, 7225,7407, 182
169, 2, 6700,7155, 455
119, 1, 7981,8436, 455
42, 2, 7205,7660, 455
21, 5, 8082,8537, 455
202, 7, 8058,8513, 455
133, 4, 7577,7759, 182
74, 7, 8604,9059, 455
8, 2, 7735,8190, 455
45, 3, 7654,8109, 455
147, 5, 8614,9069, 455
40, 5, 9114,9569, 455
201, 7, 9191,9646, 455
85, 4, 7855,8037, 182
59, 1, 8513,8968, 455
45, 6, 8205,8387, 182
209, 6, 8437,8619, 182
190, 2, 8301,8756, 455
121, 3, 8186,8641, 455
125, 7, 9737,10192, 455
27, 3, 8732,9187, 455
202, 4, 8563,8745, 182
170, 1, 9045,9500, 455
151, 2, 8806,9261, 455
23, 3, 9264,9719, 455
164, 7, 10283,10738, 455
28, 5, 9646,10101, 455
9, 6, 8669,8851, 182
158, 5, 10146,10601, 455
73, 2, 9360,9815, 455
195, 8, 5988,6170, 182
208, 7, 10783,11238, 455
18, 6, 8933,9115, 182
42, 4, 8888,9070, 182
135, 2, 9897,10352, 455
206, 2, 10402,10857, 455
186, 2, 10907,11362, 455
194, 7, 11308,11763, 455
22, 1, 9570,10025, 455
37, 7, 11833,12288, 455
200, 6, 9273,9455, 182
189, 6, 9505,9687, 182
190, 6, 9737,9919, 182
197, 1, 10116,10571, 455
144, 2, 11412,11867, 455
97, 5, 10692,11147, 455
126, 4, 9196,9378, 182
22, 6, 10107,10289, 182
84, 6, 10339,10521, 182
20, 3, 9814,10269, 455
152, 3, 10314,10769, 455
141, 3, 10814,11269, 455
136, 5, 11224,11679, 455
174, 4, 9460,9642, 182
